time,RForceX,RForceY_Vertical,RForceZ,RCOPX,RCOPY_Vertical,RCOPZ,LForceX,LForceY_Vertical,LForceZ,LCOPX,LCOPY_Vertical,LCOPZ
55.615,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.62,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.625,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.63,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.635,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.64,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.645,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.65,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.655,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.66,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.665,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.67,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.675,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.68,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.685,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.69,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.695,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.7,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.705,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.71,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.715,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.72,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.725,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.73,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.735,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.74,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.745,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.75,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.755,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.76,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.765,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.77,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.775,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.78,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.785,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
55.79,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
